Accession,A_NAT_151,A_NAT_264,A_NAT_661,A_NAT_692,A_NAT_803,A_NAT_919,A_T_151,A_T_264,A_T_661,A_T_692,A_T_803,A_T_919,I_NAT_160,I_NAT_253,I_NAT_557,I_NAT_693,I_NAT_954,I_NAT_978,I_T_160,I_T_253,I_T_557,I_T_693,I_T_954,I_T_978
P16152,28.7776,28.0742,28.2945,28.5313,28.5078,28.6891,28.16,27.7634,28.2949,28.2683,28.2324,28.5857,28.7427,28.0984,28.5741,28.7719,28.5449,28.17,28.0659,28.3593,28.3684,28.6834,27.6952,28.2552
P16278,24.2968,23.1047,23.1717,24.228,24.7829,23.6828,24.6453,25.0257,24.1181,24.4941,24.2657,24.4359,24.0571,23.4889,24.7735,24.8367,24.6304,23.7978,25.0657,25.0278,24.6164,24.7179,24.7333,23.3831
P16401,22.5652,25.2985,24.1469,22.8886,23.9954,21.9766,24.8754,26.7503,23.5644,24.7095,22.836,22.7688,20.7731,20.927,23.5392,23.2164,23.8582,23.9711,24.7453,24.9239,20.6848,24.0897,26.6514,24.7072
P16422,23.5106,21.8465,22.7969,24.2364,23.4987,23.6802,25.4181,25.6819,23.7955,26.1433,24.5095,24.4534,22.9783,20.6128,24.6879,24.9781,25.1374,23.5524,24.9731,24.9977,25.0644,24.9157,26.2197,23.1952
P16435,24.529,24.159,24.0597,24.72,24.5987,24.1752,24.6859,24.4639,24.2318,24.0561,24.7394,24.2513,23.9915,24.3111,24.0768,24.6717,24.5337,23.9339,24.0195,24.0062,24.0231,24.3799,24.5654,23.9281
P16455,22.4783,21.3723,22.0086,21.9646,22.0623,19.4972,21.6467,22.7383,22.207,22.407,20.4028,22.2632,20.668,21.1461,21.9585,22.5457,22.5765,22.2978,22.4407,21.3941,22.737,22.6192,22.7893,21.9156
P16615,26.7233,26.6373,27.0054,26.8787,27.0069,26.9046,26.3039,26.1956,26.6101,26.4705,26.3713,26.6564,26.6227,26.7941,26.577,26.8657,26.8915,26.7004,26.7375,26.4391,26.4492,26.9317,26.6046,26.8469
P16870,27.8276,21.9967,25.947,27.6883,27.7097,28.4279,25.2104,24.3218,26.1594,27.024,25.2292,27.9265,28.5695,26.5789,28.1813,28.2351,28.0012,27.0485,28.8235,27.5627,29.1399,28.1578,25.2801,26.9801
P16930,23.6455,23.1058,23.526,23.7131,23.8306,23.941,23.6372,24.2001,23.3848,24.401,24.0345,23.7575,23.7801,24.3735,24.1443,23.2539,23.6592,23.7057,24.307,24.0363,23.9441,24.0513,23.9085,23.9231
P16989,21.9019,22.4436,20.3717,22.5931,21.8779,22.1409,21.8617,23.6329,23.7248,23.3363,22.2824,22.2945,20.3669,19.7932,21.8462,21.5739,23.3627,22.8427,23.5341,21.8464,22.4573,19.9973,23.8144,20.9333
P17050,22.8524,19.4963,21.9468,22.2877,22.7422,22.472,25.2501,24.6629,22.2713,21.7171,23.4219,22.6103,22.051,21.7947,23.2163,22.963,23.1809,21.6098,23.5361,24.2271,22.7899,22.5361,22.5388,21.6408
P17096,21.891,21.6909,22.9152,22.8545,22.0041,21.2173,21.8039,22.7502,20.4325,21.6692,21.7176,22.799,21.3542,21.0274,22.2853,22.3131,22.4757,23.2588,22.2616,22.2667,22.8469,21.7508,20.8157,23.52
P17174,25.6488,25.3353,25.5887,25.5345,25.7368,25.7772,25.4774,25.3736,25.627,25.9602,25.0654,25.6241,25.5951,25.7672,25.8637,25.4458,25.5253,25.6252,25.5459,25.8429,25.5523,25.9741,25.362,25.4775
P17252,24.8968,25.3749,25.2805,25.0876,25.2397,25.0674,24.3826,22.5133,24.9175,24.1712,24.2524,23.3675,24.7412,25.6586,25.0613,25.0675,24.8256,25.1543,24.6503,24.3929,24.6101,24.7644,23.8161,25.4525
P17301,24.1603,24.816,25.2441,25.936,25.0172,24.4929,24.2175,24.6309,24.6063,25.0375,23.6153,23.9477,24.7494,25.9706,24.966,24.5746,24.5357,25.186,24.6933,24.5339,24.4079,24.5733,24.3736,25.3744
P17480,23.0018,23.1251,23.0521,22.9295,23.1917,20.902,23.381,23.7511,22.7116,23.5237,23.5293,22.8498,22.7641,22.3906,23.051,23.5071,23.1577,22.8618,23.2143,23.9812,23.4312,23.4611,23.3852,23.4653
P17655,25.8702,26.1581,26.2794,25.9338,25.5722,25.7664,26.3956,25.6956,26.2151,25.7825,25.7585,25.6689,25.8972,26.0628,25.6142,25.6993,25.7358,25.7405,25.5485,24.8351,26.0477,25.3733,25.383,25.6215
P17661,32.7929,33.3755,32.7828,33.2938,32.8196,34.1171,32.2,30.9724,32.5578,32.5251,31.8573,31.8766,33.5623,32.9386,32.8909,32.6742,32.4118,33.092,32.4958,31.4344,32.3861,32.6977,32.1539,33.4091
P17812,23.285,24.9486,24.1857,23.8081,23.7506,24.3819,23.098,23.3173,22.7406,23.9944,23.3229,22.8957,23.4613,24.5887,23.5781,23.6477,23.334,24.208,23.703,23.3753,22.8981,23.8552,23.6187,24.3181
P17844,24.3804,23.8921,23.7495,24.0496,24.0065,23.8854,24.8059,25.3596,24.0024,24.7491,24.9382,24.4259,24.3999,23.048,24.1009,24.3067,24.5283,23.1992,24.7391,24.874,24.1038,24.948,25.3954,23.9446
P17858,25.8216,25.9361,26.0174,25.8654,25.9057,25.6667,26.2305,26.5351,25.7594,26.1902,26.9904,25.8057,25.6027,24.2612,25.9832,25.9766,25.7413,25.7026,26.015,24.9158,25.8286,25.8799,25.9119,25.8367
P17900,23.5505,21.5605,23.0907,23.2182,23.2174,24.2683,24.5231,23.9531,23.0349,23.3672,22.5398,24.2804,23.8155,22.9427,24.5077,22.98,23.818,22.8981,24.5279,24.5337,24.5162,23.7486,23.3411,22.8867
P17931,26.4199,25.8126,27.6222,26.6665,25.5459,26.0525,26.288,25.769,26.3848,26.3482,26.8218,25.9374,27.512,25.6701,26.2091,26.5413,25.7413,26.049,27.0866,24.9779,26.1783,26.1851,25.006,26.1601
P17980,24.8639,24.2444,24.8324,24.8335,24.9221,24.6857,25.0903,25.3428,24.9771,25.4854,25.3151,24.8615,24.6082,24.5065,24.9819,25.1583,24.9459,24.6549,24.905,25.3042,24.9393,24.9805,25.0861,24.448
P17987,25.9595,25.9316,26.1407,26.092,26.0231,25.6693,26.4616,26.5602,26.1455,26.526,26.3323,26.1564,25.8144,26.1086,26.2717,26.2609,26.0778,25.5059,26.1505,26.5091,25.8614,26.2141,26.2734,25.4611
P18077,23.6814,22.6986,23.5748,23.4187,19.76,22.589,23.6258,23.7058,23.6033,24.4941,23.6565,23.5154,19.9309,23.3748,24.1678,23.8001,24.2337,23.856,24.4387,24.1475,24.0897,24.2061,24.7713,24.4218
P18084,20.9365,21.3587,21.6563,21.6461,21.4129,20.1094,20.8454,22.6323,21.6413,22.5856,23.4002,21.5753,20.1853,21.7524,20.7286,21.4524,21.6018,20.9501,20.9762,20.6244,21.232,20.1612,21.5361,21.2929
P18085,27.9677,27.0783,26.5346,27.3729,27.6393,27.2629,28.3281,28.2844,27.3715,27.5102,27.7969,27.6411,27.5128,27.1783,27.7495,27.799,27.7296,27.0677,26.9715,28.2092,27.7131,27.7536,27.7452,26.9841
P18124,26.1118,25.8491,25.9776,26.0039,25.9596,25.6286,26.283,26.4082,26.2025,26.847,26.0465,26.2819,26.0111,25.3754,25.8932,26.2067,26.6363,26.1136,26.4518,26.5416,26.31,26.3704,26.939,26.203
P18206,30.609,31.7678,31.1297,30.9262,30.5956,31.4187,30.1925,29.6229,31.0933,30.625,30.51,29.8002,30.8198,31.2566,30.6298,30.5508,30.3043,31.3378,30.3676,29.6957,30.5383,30.8462,30.2346,31.1958
P18428,23.3856,22.9441,21.8587,21.4753,22.1561,20.1719,23.0447,21.1559,22.3793,22.2061,22.4192,20.8412,21.2868,23.5517,21.6656,21.2255,21.5208,22.1563,19.8879,21.7375,21.5525,21.9662,21.6877,22.3149
P18583,22.5021,22.1131,21.9718,22.1437,21.8458,21.5086,22.1651,23.0535,22.4768,22.8139,22.1567,23.0158,22.2418,21.4238,22.1556,22.4258,22.2359,20.2787,22.7433,22.4768,22.3657,22.7001,22.4283,21.2141
P18621,25.6595,25.0592,25.0636,25.6092,25.5312,24.1999,25.8192,25.5878,25.7212,25.9104,25.5566,25.8163,25.3078,25.0579,25.6817,25.7995,25.7557,25.4356,25.6508,25.8779,25.8279,25.562,25.8865,25.3052
