Accession,A_NAT_151,A_NAT_264,A_NAT_661,A_NAT_692,A_NAT_803,A_NAT_919,A_T_151,A_T_264,A_T_661,A_T_692,A_T_803,A_T_919,I_NAT_160,I_NAT_253,I_NAT_557,I_NAT_693,I_NAT_954,I_NAT_978,I_T_160,I_T_253,I_T_557,I_T_693,I_T_954,I_T_978
A0A0B4J1X5,23.494,24.236,22.2087,21.7613,22.3248,20.4458,22.4842,23.3291,23.314,22.1309,22.226,20.0557,22.5121,22.9471,23.2271,21.9217,23.1625,22.7986,21.2219,21.61,22.7316,22.5595,21.4923,22.4702
A0A0C4DH38,23.5774,22.7001,22.9462,23.0449,23.1697,22.2775,22.635,21.5182,23.7833,23.1383,20.3541,21.5813,22.1806,23.6489,20.7437,22.2343,22.7876,23.4786,21.4769,22.4787,21.0542,22.549,20.603,23.9674
A0AV96,23.9415,20.327,22.4513,23.1584,23.375,21.1192,23.7042,24.3543,23.5444,23.2741,22.8407,23.8757,23.5807,22.3354,23.9406,24.1758,23.8422,22.8442,23.5983,24.112,23.8683,24.0562,23.8673,21.2949
A0AVT1,24.728,24.5299,23.7901,24.2252,24.4446,21.7915,25.1679,25.1771,23.9948,24.7215,23.9844,24.8344,24.591,24.2693,24.3623,24.5759,24.375,24.2905,24.312,24.6871,24.3956,24.5272,24.4524,24.2663
A0FGR8,23.6221,24.2148,23.9724,23.468,23.0754,22.9594,23.4801,23.6561,23.8163,23.5492,24.1108,23.4237,23.2498,24.2332,23.0436,23.461,23.1166,24.2295,23.4383,23.0508,23.337,23.316,23.3889,23.8443
A0MZ66,23.3235,21.4178,20.7844,22.7235,23.3254,23.0987,23.6093,23.5524,23.2193,22.2861,24.1732,23.0236,22.9815,22.4781,23.391,23.7391,23.0689,21.0966,23.004,23.911,23.5912,22.8562,23.5886,22.6405
A1L0T0,23.0064,22.6068,22.636,22.5515,22.6317,21.9802,22.3287,22.0788,22.1244,22.4438,22.4597,22.3184,22.3691,22.495,22.5229,22.8425,22.5217,22.5435,21.6365,22.3274,22.1465,22.5228,22.1851,22.5194
A2RRP1,21.6664,20.28,21.1398,21.5007,21.4078,20.1737,21.8926,21.429,21.033,21.6622,21.7903,21.3919,21.1928,20.0895,21.1055,21.6808,21.2528,20.882,21.2265,21.5208,21.1157,21.5483,21.4763,20.6242
B9A064,28.6167,28.2038,27.651,27.4157,27.638,29.855,28.1395,26.4205,28.5172,27.7907,26.8016,28.1475,29.0194,28.9141,28.0353,27.208,28.1955,28.7939,28.7864,27.8214,27.7672,27.5464,28.0829,29.4594
CON__P00761,28.6125,28.7739,27.9641,28.3396,28.8624,28.6176,28.1715,27.6115,28.4315,28.4778,28.022,28.0924,27.5748,28.7244,28.2788,28.4375,28.1661,28.8777,27.3573,28.089,28.3435,28.1819,28.1116,28.9735
CON__P02768-1,34.7402,34.6978,34.6117,34.555,34.75,35.4361,34.2413,33.7345,35.2601,34.1802,34.2237,34.4337,35.0271,35.3618,34.7978,34.0948,34.1869,34.8312,34.2919,34.1079,34.3623,34.1971,34.2003,35.1609
CON__P08727,29.0084,29.1706,30.4008,29.3376,29.2612,28.3122,26.6483,27.193,29.5389,29.061,29.2534,28.1857,28.5131,28.5203,28.3427,28.5352,30.0266,28.436,27.9703,28.0828,29.1201,28.6087,27.5841,29.5558
CON__P19012,27.627,24.2505,27.0828,27.3628,27.7967,26.5138,19.8257,24.8887,27.1486,20.66,20.6566,26.4452,28.295,27.4138,27.4334,26.9953,27.5903,26.894,27.2423,22.292,27.4402,27.0243,21.0482,27.5342
CON__Q3SX28,30.3487,31.641,30.7871,30.565,29.8964,31.7078,29.6709,29.1152,30.5891,30.1553,29.5192,29.5355,31.0609,30.7218,30.2202,30.1828,30.2315,30.3978,30.2433,29.1206,29.9401,30.2621,30.2516,30.5604
E9PAV3,24.435,24.3503,24.8964,24.6651,24.6475,21.684,24.8874,25.1829,23.9252,23.3461,24.6201,24.6139,24.6903,23.9644,24.4127,24.4017,24.7085,24.318,24.7179,25.1779,24.5048,24.8787,25.0669,24.3579
O00151,24.2935,25.1253,25.27,24.3175,24.7233,23.6574,23.826,24.302,24.6699,24.1178,24.7109,23.9343,23.1731,23.6321,23.6856,23.8116,24.8183,24.7174,23.778,23.0953,24.4483,23.7192,23.1971,24.6676
O00159,27.9843,28.2021,27.9696,27.8147,27.9595,27.7204,27.5912,27.2902,28.0549,27.5298,27.6146,27.3108,27.9082,27.9767,27.7632,27.6942,27.7025,28.306,27.2728,26.9772,27.8761,27.6712,27.2493,28.3059
O00161,23.1519,22.1063,23.2754,22.9872,22.8385,22.711,23.5596,23.3868,23.4367,23.625,23.2063,24.0889,23.4831,20.379,23.1951,23.3369,23.5003,22.8546,23.8144,23.1324,23.6872,23.2751,23.5892,20.7188
O00170,22.539,22.2905,22.7179,22.6788,22.6982,22.5658,22.558,23.1656,22.8116,22.3899,22.918,22.9131,22.5199,22.9361,22.8105,22.3047,22.7609,22.7352,22.5018,22.8336,22.5291,22.6816,22.3605,22.8051
O00178,23.1283,20.844,20.3402,22.2218,22.8077,22.4998,22.7308,22.592,22.8848,22.3658,22.8857,22.4056,22.2894,20.8858,23.8937,22.6981,22.7656,22.6701,22.0748,23.2978,24.0664,22.6597,23.0917,22.1539
O00186,22.4025,22.4192,22.8878,23.0746,22.67,22.0011,22.898,22.1886,22.1401,22.689,22.0101,22.2376,22.2305,22.7645,22.7817,22.6933,22.6336,22.861,22.5814,22.6224,22.6685,22.342,22.3669,22.5831
O00193,23.2387,20.7203,21.3718,23.0311,23.1846,20.8027,22.8535,23.6767,19.9398,23.9577,22.8573,23.2176,23.0815,20.9351,22.8821,23.3286,23.4504,23.5589,23.1795,23.0626,23.3339,23.1316,24.0515,23.4042
O00194,26.2435,22.0403,24.6255,25.3832,25.9728,25.3923,25.0049,25.8188,25.3547,24.9159,25.0283,26.3848,26.6693,24.4827,26.204,26.1577,25.7078,24.239,25.6777,26.1899,26.3918,26.1184,24.8754,24.4421
O00203,22.9658,22.3438,22.4627,22.8414,22.8264,22.1442,23.7838,24.0651,22.8889,23.5156,23.1065,23.5032,22.7264,21.9405,22.7808,22.9066,23.3973,22.1292,23.266,22.6882,22.8188,23.3843,23.2942,21.8232
O00204,24.5561,19.7381,22.7259,23.5316,23.832,23.2088,21.4552,21.7966,22.8439,21.3918,22.9058,23.2309,24.0206,19.8433,22.3378,24.7221,24.0908,22.1232,22.5087,22.3062,22.9398,23.6258,20.5046,22.3557
O00217,23.0966,23.1151,22.342,23.235,23.2249,22.6074,23.4911,23.8439,23.009,22.5949,23.4325,22.6066,23.235,23.4728,23.2363,23.3689,23.515,23.241,23.2763,23.9162,23.4418,23.2578,22.5754,23.407
O00231,25.5091,25.1265,24.8125,25.0982,25.2873,24.9257,25.5487,25.5971,25.3376,25.2146,25.4997,25.4032,25.0429,24.7618,25.4732,25.4168,25.3755,25.2223,25.2935,25.6756,25.3555,25.3093,25.5037,24.9049
O00232,24.3481,23.606,23.9408,23.7769,24.1224,23.2409,24.4078,24.5426,24.0409,24.8204,24.2326,24.1654,23.7502,24.0405,24.1817,24.1512,23.9293,23.8353,24.3296,24.2369,24.0428,24.4291,24.085,23.7254
O00233,22.2461,20.1749,21.5741,21.1092,22.5087,22.8083,22.3319,20.4971,22.682,22.157,22.5259,22.6811,21.9631,22.4652,21.8066,21.5714,21.9101,22.3037,22.4255,22.2511,22.6783,22.8016,22.2311,22.9139
O00244,23.7313,24.2703,21.1519,23.3878,22.92,23.6919,23.9251,23.938,24.15,22.6511,23.8886,23.5633,23.4238,23.2545,23.667,23.6157,23.5767,23.9504,19.9134,24.3222,23.6014,20.4584,23.9044,20.4269
O00264,25.4309,25.6418,24.526,26.0509,25.6258,25.8704,23.3427,24.3178,25.4458,24.7627,23.9181,25.6531,25.8954,25.2662,25.6834,25.7962,25.6155,25.446,25.761,23.931,25.276,25.0279,24.007,25.299
O00267,22.316,21.4548,21.9818,21.4919,21.8808,21.2173,21.9113,22.2479,19.9337,21.8719,21.7567,21.8119,19.5235,20.1707,21.9518,22.1668,19.8483,21.7066,22.4145,22.0486,21.9997,21.9969,21.1932,20.547
O00273,22.6127,23.0808,19.6851,22.4441,22.6651,21.6976,22.2872,22.8526,22.1771,20.8138,22.8616,21.8758,22.0038,22.2213,22.9263,23.0056,22.7477,22.1448,22.4054,22.9355,22.308,22.4287,22.4234,22.3955
O00299,27.7324,26.9508,27.43,27.628,27.5709,27.5535,27.542,27.9062,27.6311,27.6526,27.8182,28.1799,27.6322,26.8318,27.7533,27.563,27.5219,27.2575,27.7432,27.6871,27.7915,27.4862,27.907,27.2046
O00303,24.0371,23.6808,24.0213,23.5063,23.9477,23.0119,24.2061,24.1081,23.5215,24.1856,24.1255,24.1125,23.5956,23.6729,23.6156,23.7957,23.8104,23.3491,24.066,24.0982,23.7623,24.2626,24.042,23.5472
O00339,25.5998,25.8559,26.1815,25.9795,25.8549,25.7905,23.5055,25.4409,25.471,25.6461,23.9722,23.768,25.3293,25.92,25.5127,25.0109,26.424,26.1796,24.0002,21.6218,25.5215,24.9283,23.0631,26.2348
O00410,25.0718,24.4872,24.8477,24.737,24.7934,24.4268,25.3697,25.2472,24.7726,25.267,25.0524,24.9226,24.4756,24.5782,24.515,24.6123,24.9198,24.4623,24.9468,24.8295,24.6485,25.0929,24.8935,24.6237
O00429,25.0068,24.7569,24.4869,24.9907,24.9607,24.6606,25.0892,24.5894,24.995,24.5992,25.2822,25.0017,24.836,24.5017,24.8188,24.869,25.0714,25.0464,24.7851,24.4452,24.8808,24.7401,25.2403,24.9035
O00442,23.7685,22.5886,22.6807,23.2674,23.2457,19.4581,24.4725,23.4973,23.2209,23.5692,24.182,23.5547,22.7849,22.9457,23.8627,23.9244,23.6211,23.2587,23.1976,23.9125,23.6731,23.7205,23.6682,23.1081
O00468,25.519,25.119,26.2626,25.326,25.4868,25.0386,25.3599,26.7997,25.449,25.6976,26.0957,25.4172,25.9609,24.3692,25.5949,24.9157,26.1254,25.8323,26.0212,24.8024,26.1534,25.5595,26.1981,25.6045
O00499,24.8779,25.0628,24.3435,25.3059,25.0488,24.7675,23.7622,23.8921,24.0803,24.0444,24.0212,23.0582,24.7494,25.054,25.0236,25.2458,24.1978,24.5371,23.9489,24.5624,24.3352,24.8778,23.3049,24.8832
O00505,21.9645,22.0491,21.3481,21.6782,21.6546,20.8752,22.0791,21.9551,21.3859,21.9577,21.9937,21.3833,21.4436,21.8551,21.868,21.9149,22.0029,21.69,21.5506,22.4089,21.5642,21.5231,21.7611,21.4786
O00519,21.5211,19.6937,19.5898,21.6629,22.5065,23.5814,23.2212,24.3032,21.2344,21.047,21.36,24.7055,23.7392,21.6306,23.8532,22.7218,23.6139,20.8717,24.284,23.0362,22.6104,21.7836,23.8977,20.6142
O00534,23.1316,23.6978,23.0185,22.1816,22.6067,21.8053,22.4486,22.1176,22.2079,20.5063,22.5365,20.8366,20.3269,22.2581,21.4573,22.2105,22.5527,22.626,20.5286,21.8669,22.1504,21.7058,20.7895,23.0813
O00560,22.5694,20.7859,20.4283,22.4054,23.5927,23.309,24.2373,24.1722,19.8205,23.6936,23.1966,23.0418,22.8565,20.337,23.6939,22.5346,22.7824,22.8537,23.3679,24.4489,24.4614,22.7628,24.0651,22.8193
O00567,23.5475,24.0489,24.4504,24.3547,24.4198,22.4675,24.939,25.9017,24.3068,25.6742,24.7494,24.5931,23.5818,23.7755,24.8705,24.7869,24.6096,24.4556,25.4221,25.6422,24.876,24.9929,25.2439,24.5013
O00571,25.3455,24.9903,24.6837,25.0817,25.0772,24.4663,25.4277,25.2546,24.9167,25.0859,25.3425,24.8208,24.732,24.9767,25.0624,25.1082,25.3314,25.1101,24.9071,25.2585,25.0367,25.4705,25.366,24.9626
O00584,22.7991,22.5363,22.4638,23.1306,24.583,23.9616,23.76,23.8785,22.4581,25.2297,24.0469,23.6463,23.3012,22.8707,24.1318,23.9072,22.3521,23.2575,24.4972,24.491,24.0699,24.5054,23.6128,23.2973
O00629,24.2535,23.8167,24.1565,24.1384,24.1231,23.4308,24.4018,24.3038,23.9625,24.1391,24.8288,23.6587,23.8629,20.5736,24.2402,24.0458,24.1676,23.9964,23.8689,24.3077,24.082,24.1701,24.082,24.3204
O00754,23.0423,21.7191,20.9781,21.4577,23.0476,22.4436,26.0542,24.992,22.5735,22.8512,23.726,23.37,22.858,21.266,22.6474,23.5918,23.3822,22.057,24.1609,25.3757,23.2952,23.7714,21.9501,22.2175
O00764,23.0525,24.0423,23.7391,23.8199,23.368,23.6186,23.4873,23.4573,23.5804,23.6395,23.7128,23.4578,23.8332,23.3173,24.2666,23.2191,24.1619,23.4536,23.7689,23.5915,24.0467,23.9102,23.3889,22.7031
O14494,24.5436,21.6008,21.7754,24.0643,23.6595,22.67,24.2433,24.4411,23.8068,23.126,23.2698,20.5948,24.393,23.1852,23.5787,23.5947,24.4261,21.6077,24.346,24.2642,25.0012,23.5871,25.3245,23.4526
O14558,25.6263,26.1204,26.6367,26.8203,25.5314,26.7529,24.8383,25.146,25.929,26.4472,24.724,25.9031,27.001,26.4831,26.3665,26.4217,26.2443,25.6408,25.4162,25.0214,25.0472,26.4511,24.8514,26.4455
O14561,23.2033,23.1153,22.6358,23.5821,22.6552,22.9925,23.1378,23.2842,23.4216,22.757,23.1625,24.1598,22.5621,21.3951,23.5236,22.8201,23.5678,23.8451,24.0876,23.8648,23.8214,24.0243,24.1266,23.1012
O14579,25.9573,24.6873,25.0794,25.2795,25.1496,24.7442,25.6264,26.0427,25.2586,25.8714,25.5479,26.2046,25.239,24.789,25.6314,25.8013,25.6674,24.7629,25.5623,26.0993,25.6757,25.905,25.8845,24.1807
O14617,23.6322,22.2902,23.231,23.4466,23.4079,22.7613,24.0218,24.055,23.3851,23.9826,23.9311,23.7485,23.2428,22.3788,23.2279,23.4697,23.4555,23.2185,23.5836,23.7248,23.4362,23.6892,23.7022,23.4874
O14618,19.3599,21.7763,21.8392,22.0472,22.0958,22.1818,22.0247,21.5601,22.2297,22.1908,21.4064,21.101,21.0916,21.4502,22.3428,21.7515,22.4117,19.8605,22.028,20.0285,22.1733,22.6508,22.689,22.7905
O14672,24.657,21.3585,25.3608,24.905,24.8047,24.4077,23.7405,24.7997,24.7565,23.4131,23.3221,25.4539,25.2728,24.0824,24.0537,25.4887,25.6931,24.0507,25.2615,24.9742,24.2527,25.2337,21.3957,22.8961
O14737,22.5029,23.1702,20.5344,22.8098,22.7582,22.4416,23.0175,22.8261,22.9703,23.0617,23.2418,22.0449,22.4215,20.4958,22.7654,22.9175,20.3754,22.9761,22.2223,22.5026,23.1146,22.9279,22.8773,23.1415
O14744,22.9262,20.7154,23.1277,23.0891,23.5989,22.9567,24.1483,24.4596,22.8883,24.669,23.8013,23.3061,23.0092,22.5061,23.6563,24.0064,22.9975,22.576,24.0471,24.2919,23.4908,24.1307,23.9686,22.4189
O14745,23.7147,19.7875,23.6075,23.6164,23.4821,23.3973,24.2685,23.754,24.1257,23.2698,25.2398,23.8909,23.3762,23.5274,23.8257,23.9956,23.9997,23.4269,23.453,23.3298,24.0279,23.4636,24.3698,23.2587
O14773,25.2395,24.7486,24.7935,24.9486,25.5482,24.2923,26.9627,26.423,24.8191,25.0207,25.2785,24.604,25.6644,25.0411,25.9792,26.1589,26.5265,25.1542,25.7455,26.8098,25.8999,26.3855,25.3271,25.6144
O14787,22.3707,21.9177,22.975,22.3374,22.5627,22.2963,22.2912,22.8112,22.6825,22.4053,22.959,22.603,22.1694,22.1287,22.2327,22.8031,22.3316,22.6906,22.7181,22.7124,22.8391,22.0683,22.8651,22.7739
O14818,25.4975,25.2163,25.4241,25.2497,25.9197,25.4582,25.7659,26.1307,25.6742,26.1743,26.0598,25.5617,25.2831,25.5738,26.0008,26.0039,25.8689,25.5548,25.6872,26.2509,26.0597,25.8344,25.877,25.6354
O14828,22.6661,21.5984,20.8711,21.5956,22.0708,22.0041,22.3775,22.6653,22.3157,21.9654,22.2228,22.6208,22.4201,21.9106,22.0907,22.3985,22.0146,21.7331,21.798,21.2399,22.211,22.1279,22.436,21.6
O14841,23.1685,22.3795,21.2089,22.9112,23.1046,22.7418,23.2032,24.4524,22.9418,22.9566,21.1929,22.2805,22.8017,22.5062,23.0877,23.7108,22.218,21.1013,23.0747,24.0907,23.3084,23.1243,22.3692,21.0194
O14880,26.2849,25.3693,25.1967,25.7949,25.5147,26.1111,25.5254,25.566,25.6637,24.3159,26.1606,26.301,26.0891,25.488,25.6649,26.3597,26.4008,25.2277,24.9716,25.1502,25.7606,25.5806,24.5083,24.5369
O14936,24.1338,21.0663,22.0743,23.5615,23.847,23.3727,23.2272,23.6759,23.2424,23.0217,22.7442,23.5237,23.7668,22.8699,23.8594,24.1807,23.6121,22.7643,23.4098,23.2103,23.952,23.6939,22.5595,22.5291
O14964,22.4999,20.7673,22.7064,22.5684,22.3206,21.9843,22.6916,22.9938,22.2943,22.9565,22.3356,22.5288,22.598,22.5629,22.9395,22.7712,22.4451,22.5859,23.4919,22.5296,23.0868,22.9507,22.5731,22.9019
O14972,21.3473,21.4408,19.7649,19.9232,20.9123,21.2178,21.1513,21.497,21.0033,20.9462,20.9694,20.4661,20.6481,20.929,21.197,21.3129,20.8939,20.8624,20.5726,21.2654,21.1866,20.8245,21.3863,21.1961
O14974,25.6316,26.3051,25.7872,25.8056,25.63,25.758,25.406,25.1957,25.7601,25.6729,25.4342,24.9646,25.5364,25.8997,25.5135,25.3535,25.5492,26.4059,25.4965,24.5333,25.1392,25.7047,25.4321,26.4255
O14976,22.2069,21.1672,20.4323,19.8602,21.5156,21.0112,22.2409,22.1972,21.9906,22.6191,22.1182,22.9078,22.2611,20.294,21.4079,21.9349,21.8126,21.5995,22.8303,22.3251,21.6407,22.1789,20.3263,21.3523
O14979,20.7985,23.5247,23.4704,23.7383,24.3715,23.5651,24.8585,24.1602,23.7622,23.9425,24.4725,23.4558,23.8169,20.6109,23.9065,24.4003,23.5483,23.5989,24.1047,24.3599,24.8472,24.1483,24.1723,23.6636
O14980,25.6205,25.531,25.3591,25.5241,25.6139,25.1661,25.691,26.1807,25.3236,25.9279,25.9622,25.4209,25.2391,25.4799,25.3889,25.7061,25.5048,25.3063,25.4877,25.9889,25.5965,25.7094,25.8057,25.4706
O15020,24.8978,20.5891,20.6491,24.2115,24.7978,24.3272,25.7727,23.9224,23.6143,22.9989,25.5473,25.5899,25.2774,19.1517,25.1016,25.4945,25.3009,19.8495,25.3969,25.2076,24.9984,25.2866,23.3192,19.5817
O15027,24.1459,21.0485,22.0747,24.0529,23.9509,22.9302,24.397,25.0364,23.1053,24.9235,24.1471,24.7551,22.6572,21.624,24.3876,24.5652,23.8261,21.5225,24.2358,24.4394,24.2796,24.0576,24.7279,21.2228
O15031,24.3686,23.9415,24.0638,24.2791,24.3774,24.2274,24.5004,24.6432,24.3653,24.6817,24.5851,24.7512,24.33,23.1423,24.3857,24.5526,24.6068,23.9813,24.9219,24.2461,24.6316,24.7052,23.9883,23.7118
O15042,22.2297,21.7818,22.183,21.9291,22.2815,21.6735,22.4061,23.48,22.4353,21.8462,22.7687,22.5409,21.7027,21.746,22.2016,22.2764,21.9474,21.7613,22.5748,22.7779,22.4365,22.4249,22.7528,21.7704
O15061,30.0596,30.6268,30.1464,30.8301,30.3497,31.1939,28.2477,27.7225,29.234,30.0767,28.1421,29.1974,30.6805,29.8789,30.4048,30.3291,29.7744,30.0765,29.8869,27.6877,29.4853,30.4087,29.142,30.7865
O15067,21.8348,21.6404,22.6212,22.2946,22.1932,21.4754,22.9115,22.5996,22.2739,22.0392,21.1841,20.8858,20.7477,22.4603,22.8242,22.6701,22.1946,21.6357,22.4454,23.0755,22.8233,22.7625,22.6692,21.5779
O15126,22.105,20.8641,20.8641,20.1185,22.4698,23.2733,20.4856,22.5146,20.6949,22.7651,20.7493,23.2833,22.7444,19.7384,22.8705,20.0518,22.322,22.2377,23.16,22.7676,22.8718,22.3441,22.6168,22.2333
O15143,24.8405,26.0783,25.8127,24.9809,25.0339,24.6336,25.2968,25.8669,24.9769,25.3706,25.0646,25.1388,24.8483,24.5971,25.0104,24.4225,25.1294,25.751,25.165,24.9957,24.9834,24.7075,25.3357,25.8683
O15144,25.9591,26.5231,26.1812,25.9325,26.1257,25.7854,26.2109,26.6259,25.9542,25.8531,26.0285,25.8363,25.9369,25.759,26.1144,26.1498,26.2593,26.3514,25.8968,26.0901,26.2046,25.6859,26.3008,25.8357
O15145,23.9457,23.931,24.1908,23.4871,23.3958,23.5838,24.0862,24.3296,23.7213,24.0161,23.9106,24.336,24.0379,23.5381,23.6781,23.7966,24.0288,23.6532,24.1416,23.5931,23.2038,24.0671,23.8489,24.0533
O15173,25.2966,25.3077,25.1856,25.4786,25.3763,25.1319,25.3539,25.0229,25.0529,25.2769,24.9218,24.96,25.0257,24.949,25.1064,25.6359,25.0728,24.8644,25.4531,25.3284,25.0456,25.577,24.6583,25.2414
O15212,23.3707,23.0871,22.6433,23.1616,23.1567,22.6536,22.8435,22.9385,22.9311,23.1626,23.2836,22.6698,22.9291,22.7832,23.4241,23.216,22.9791,23.3074,22.568,22.9852,23.0685,23.0429,23.3159,23.2981
O15230,28.3452,29.6549,28.7927,28.7321,28.5262,28.5615,27.6749,27.3217,28.5039,27.8204,28.6809,26.676,28.5876,29.8144,28.3534,28.3694,28.0834,29.8219,27.9243,26.862,28.3657,28.4898,27.5382,28.9489
O15231,24.8672,24.6405,25.8402,26.063,25.3242,26.2107,22.2491,23.2242,25.1963,24.8902,20.6839,24.2313,25.2767,25.1663,25.403,25.595,25.517,24.3209,24.7448,23.6736,24.4959,25.6606,22.245,25.345
O15254,23.4368,21.2705,22.8154,23.3566,23.5433,22.8493,24.2642,22.8766,23.1363,23.2734,23.3668,24.6234,23.7942,22.2684,24.0358,23.9161,23.2683,22.57,24.2733,23.4578,23.6116,24.1264,21.6038,22.3319
O15258,23.9873,22.9278,20.4413,23.6527,23.4253,23.3019,24.0305,22.5427,21.3603,23.7851,22.8407,23.942,23.7517,23.2454,23.8177,23.9157,23.8082,20.1992,24.2415,23.9395,20.5842,23.8771,23.964,23.1702
O15260,24.4385,23.5499,23.7431,24.5488,24.5667,23.9928,24.1987,24.3602,23.8659,23.8369,24.6173,23.9423,23.7954,23.8384,24.4403,24.6058,24.689,23.9103,24.6582,24.183,24.1237,23.7367,24.1114,23.5017
O15296,26.5345,21.2384,21.696,25.4804,24.7973,24.7799,27.9613,21.1454,24.7486,21.4872,26.3407,26.0431,25.3012,24.6861,25.9014,26.9897,26.1563,24.6845,23.7942,26.3407,25.4717,26.4371,21.0166,23.2614
O15320,22.226,21.8358,21.1635,22.096,21.781,22.4141,22.0368,21.5741,22.1065,21.6249,21.2034,23.026,21.7961,20.3958,22.1754,22.2197,22.5892,18.8607,22.7136,22.1478,22.4998,21.9178,22.0312,20.5394
O15321,22.82,20.1403,20.9833,22.0022,22.3417,22.1434,22.8679,23.2558,20.6643,22.9144,22.255,22.6071,22.1905,21.2816,22.867,22.6484,22.6254,21.697,22.818,22.584,22.1877,22.5392,22.8597,21.6115
O15327,22.7806,20.4749,22.0425,21.5634,22.0649,20.5061,22.3281,21.5475,20.5927,19.9682,23.3472,22.6448,22.5342,21.5855,23.1827,22.4631,21.7729,21.778,21.7483,25.0379,23.52,21.6402,21.4565,20.2729
O15355,21.9337,21.9737,21.95,21.9653,22.5085,20.0683,22.756,22.9571,22.3067,22.1584,22.1211,21.8444,21.1606,21.7453,22.29,22.196,22.4084,22.0313,22.5525,22.8255,22.1791,22.1348,23.0542,22.0247
O15371,23.9127,23.458,23.5981,23.5937,23.568,22.7078,24.0759,23.8625,23.7237,24.0395,23.9194,24.3803,23.9491,22.9907,23.5992,23.8513,23.7339,22.7226,24.0606,24.1018,23.7847,24.0038,23.7581,23.5711
O15372,22.9531,22.5233,22.7936,22.718,22.769,21.8415,23.2169,22.9647,22.7948,23.0763,22.9232,23.0976,22.7813,22.8072,23.1844,23.075,22.9394,22.1571,22.9228,23.3973,22.9469,23.0986,23.2186,22.5981
O15382,24.9978,23.7114,24.5578,24.8223,25.3468,24.5561,25.506,24.7176,24.717,24.3955,25.5121,25.073,24.9607,24.2234,25.6603,25.3691,25.3434,24.8413,25.2998,27.0068,25.4874,25.9589,25.0247,24.1409
O15393,23.025,20.9225,19.8288,20.8167,24.5015,23.9889,24.0901,21.2661,21.1389,21.0603,23.3512,24.0041,24.0148,20.6549,24.1656,23.461,24.0578,23.202,23.4611,24.32,25.1965,23.4585,23.8112,21.2771
O15400,22.1164,22.9561,20.3789,20.963,23.0492,20.2603,22.9827,20.4113,22.6206,23.2794,23.4072,22.6183,22.2726,23.5226,20.1921,23.1857,22.6551,22.2817,22.9835,22.8765,22.7892,23.2321,22.3847,21.5676
O15439,25.9001,20.3986,23.5873,24.9747,25.9758,25.2984,25.9564,25.2316,24.893,24.4601,25.4625,26.3267,25.0479,23.7119,25.7415,26.3397,25.8422,23.8306,25.6544,25.1238,25.5336,26.1605,25.506,21.6964
O15484,23.5476,21.0368,22.5005,23.1626,23.5499,21.4162,21.5243,23.1964,23.1104,23.5684,20.7425,20.9549,23.7814,23.044,23.6873,24.3465,23.7564,23.0087,23.6794,21.0446,23.7806,23.9271,24.6305,22.812
O15498,22.3118,19.9509,22.868,20.7262,19.1981,22.5154,23.4758,23.0665,23.1503,23.2915,23.3006,23.9242,23.3948,20.7392,23.4005,21.9823,22.9391,22.6656,23.3041,23.2425,23.1972,20.928,23.22,22.9448
O15511,25.1115,24.4041,25.8316,25.0552,24.7126,25.1913,25.2489,25.3237,25.4879,24.1,25.2326,25.3567,25.0976,25.0734,24.775,25.0616,24.8846,25.0572,25.1532,24.7554,24.9364,24.9168,24.8039,24.9228
O15533,22.0969,23.4922,22.2958,22.421,22.0126,21.7381,20.5107,23.4193,20.3656,21.5689,21.3897,22.0823,21.021,19.2119,21.3515,22.5853,22.6563,19.6439,21.7096,22.8077,19.4791,21.7758,21.3673,22.855
O43143,25.2756,24.7658,24.4149,24.7162,25.1522,24.0674,25.3848,25.7168,24.8996,25.1735,25.1278,25.1374,24.6389,24.4627,25.1725,25.207,24.9772,24.6366,24.7467,25.4031,25.0244,25.2302,25.3924,24.593
O43169,24.2791,24.1674,23.672,24.1954,24.013,21.3807,24.4619,24.2378,23.7109,23.3797,24.4904,23.7784,23.3502,23.8764,24.2823,24.1412,23.8001,23.6186,23.3346,24.3769,23.9924,23.4419,24.6547,24.3705
O43172,22.0941,21.8085,21.715,21.9368,19.8275,20.4089,20.225,22.6595,22.0736,22.0132,20.4203,21.9242,21.5683,21.5254,21.9491,22.3477,21.9727,21.3967,22.3277,20.5316,22.1673,22.2213,22.4098,21.7814
O43175,27.6602,25.4425,26.6795,27.1882,27.6893,26.6153,26.8367,27.3603,26.6221,26.1409,27.2093,26.1293,27.4368,27.2313,27.6305,28.0383,27.3943,26.0453,26.7667,27.1648,27.2736,27.3299,26.3862,25.8565
O43182,21.4831,21.0689,21.3764,21.3006,21.8124,21.2992,21.8669,21.8571,21.6672,20.0703,21.0706,22.1846,21.9129,20.0306,22.0398,21.5878,21.2973,21.232,21.9607,22.0947,21.8721,21.1058,21.5686,19.9111
O43237,24.6305,24.6619,24.9357,24.3903,24.4026,24.2616,24.865,24.2608,24.6238,24.9272,24.5659,24.6786,24.5023,24.0898,24.2781,24.3675,24.1559,24.5144,24.6347,24.6423,24.3312,24.4849,24.4623,23.9911
O43242,24.394,23.2614,24.4399,24.4344,24.4329,24.172,24.7356,25.0516,24.1973,24.6558,24.6983,24.5271,24.0699,24.3055,24.4719,24.4569,24.5937,24.4817,24.4347,24.7984,24.492,24.2804,24.9173,24.2648
