Module,value
PVEblack,0.5403971003195064
PVEblue,0.4857241426877593
PVEbrown,0.41340069810864954
PVEcyan,0.4011782212749783
PVEgreen,0.49233689029276556
PVEgreenyellow,0.5227279842335758
PVEgrey60,0.6338782532467322
PVElightcyan,0.40549225964168123
PVEmagenta,0.42485471436053596
PVEmidnightblue,0.4578329499556332
PVEpurple,0.44452549508555517
PVEred,0.5435041551454464
PVEsalmon,0.48244220788151077
PVEtan,0.5277790822578909
